County,lifeexpectancy,frequentmentaldistressrate,mvmortalityrate,household_income,householdiincome_black,householdincome_hispanic,householdincome_white,segregationindex,firearmfatalitiesrate,percenthomeowners,population,urbanization_status,border_status
Anderson,73.8,11,19,42412,24427,37635,48013,35,14,71,57741,Rural,Non-Border
Andrews,76.8,10,43,63451,38359,66319,73648,11,14,74,17722,Rural,Non-Border
Angelina,76.3,13,20,45318,28509,41673,51631,37,13,66,87805,Rural,Non-Border
Aransas,76.9,12,19,46970,,43302,45496,27,20,74,25572,Urban,Non-Border
Archer,77.0,10,26,58311,,34375,65504,22,,82,8809,Urban,Non-Border
Armstrong,72.4,10,,55337,,150250,64737,,,81,1879,Urban,Non-Border
Atascosa,78.3,11,20,48636,72827,49619,66601,15,17,74,48981,Urban,Non-Border
Austin,79.1,11,22,61111,40096,49375,74375,18,19,74,29786,Urban,Non-Border
Bailey,78.4,13,30,42045,,37917,54073,,,72,7077,Rural,Non-Border
Bandera,80.3,11,24,55578,,58274,56284,24,10,85,22351,Urban,Non-Border
Bastrop,77.6,11,27,62992,46866,49336,63927,23,22,77,84761,Urban,Non-Border
Baylor,74.3,12,55,37013,,20417,37712,,,77,3581,Rural,Non-Border
Bee,76.7,11,19,41392,41051,40737,48678,24,11,63,32563,Rural,Non-Border
Bell,78.1,11,15,52164,46745,46702,60233,38,17,55,347833,Urban,Non-Border
Bexar,79.0,11,11,54163,45533,46079,70203,25,12,59,1958578,Urban,Non-Border
Blanco,78.8,11,20,62115,,46861,61918,33,27,77,11626,Rural,Non-Border
Borden,,9,,59039,,86042,75750,,,74,673,Rural,Non-Border
Bosque,76.5,11,25,49139,61731,35156,51236,28,16,77,18326,Rural,Non-Border
Bowie,75.6,12,15,49153,27745,29432,51955,42,18,65,94012,Urban,Non-Border
Brazoria,79.0,10,13,80840,73200,63715,80549,37,11,72,362457,Urban,Non-Border
Brazos,81.1,12,10,46083,32027,37026,52780,30,7,45,222830,Urban,Non-Border
Brewster,79.7,11,22,44617,,37711,42802,14,26,55,9337,Rural,Border
Briscoe,,12,,42678,13125,31058,51458,,,76,1528,Rural,Non-Border
Brooks,76.7,14,20,28106,,,,11,,61,7235,Rural,Border
Brown,75.0,12,16,41538,33561,36399,45705,28,17,73,38053,Rural,Non-Border
Burleson,76.6,11,28,47409,29250,54531,57665,15,18,78,18011,Urban,Non-Border
Burnet,79.1,11,25,59009,66563,60253,56882,20,12,76,46804,Rural,Non-Border
Caldwell,78.0,12,21,51895,29198,44921,62380,19,13,67,42338,Urban,Non-Border
Calhoun,78.7,11,22,55240,28563,53472,63471,14,10,71,21744,Rural,Non-Border
Callahan,75.4,12,18,45843,23611,31806,41461,9,19,82,13946,Urban,Non-Border
Cameron,80.8,14,10,36624,57333,33400,51618,23,4,67,423725,Urban,Border
Camp,75.9,12,33,41932,31371,40573,48006,28,,71,12855,Rural,Non-Border
Carson,78.1,10,28,60668,,75750,66642,,,85,6032,Urban,Non-Border
Cass,75.3,12,26,40104,24975,31908,45581,15,24,78,30012,Rural,Non-Border
Castro,80.3,12,,41746,90833,37247,57656,7,,64,7843,Rural,Non-Border
Chambers,77.1,11,21,81018,43944,59238,83568,17,20,83,41441,Urban,Non-Border
Cherokee,75.6,12,26,47147,23609,44264,49014,34,15,74,52240,Rural,Non-Border
Childress,75.1,12,,40925,,31316,47923,1,,55,7067,Rural,Non-Border
Clay,77.2,11,23,53438,,35208,48547,27,21,85,10421,Urban,Non-Border
Cochran,75.3,13,,40796,,31094,45192,,,76,2851,Rural,Non-Border
Coke,76.8,11,48,42314,,36429,44519,23,,71,3306,Rural,Non-Border
Coleman,74.5,12,20,35596,,40857,41193,22,,71,8430,Rural,Non-Border
Collin,82.7,10,6,95394,69186,59137,96131,26,8,66,969603,Urban,Non-Border
Collingsworth,76.1,13,,39809,21131,42857,52222,,,80,2987,Rural,Non-Border
Colorado,77.5,11,26,49100,28859,51612,54926,24,14,82,21232,Rural,Non-Border
Comal,79.8,10,15,72562,87209,52479,79684,24,15,75,141009,Urban,Non-Border
Comanche,76.7,12,35,46161,28177,41002,43768,10,,78,13573,Rural,Non-Border
Concho,79.9,10,,42723,,31771,51510,,,71,2717,Rural,Non-Border
Cooke,77.8,11,17,57382,32016,45171,63624,39,15,69,39895,Rural,Non-Border
Coryell,77.0,11,14,51486,50963,40976,52609,30,12,58,74913,Urban,Non-Border
Cottle,,12,,36201,15625,28558,51000,,,65,1387,Rural,Non-Border
Crane,78.5,10,33,56356,,71282,53661,,,78,4740,Rural,Non-Border
Crockett,77.8,11,38,44991,,52701,60333,,,73,3564,Rural,Border
Crosby,74.9,12,,36942,28661,34632,44276,33,,69,5899,Urban,Non-Border
Culberson,82.9,13,,37825,,26250,51118,,,67,2231,Rural,Border
Dallam,77.9,11,30,47838,,36917,48401,8,,60,7208,Rural,Non-Border
Dallas,78.9,11,11,56732,40202,44338,74286,37,11,50,2618148,Urban,Non-Border
Dawson,76.5,11,14,42127,16250,36552,52955,14,,71,12813,Rural,Non-Border
Deaf Smith,78.2,11,23,42698,36071,45674,64330,17,,65,18836,Rural,Non-Border
Delta,74.6,12,41,41644,14500,85456,43040,25,,77,5298,Rural,Non-Border
Denton,81.7,10,7,86462,56628,55633,90080,30,7,65,836210,Urban,Non-Border
DeWitt,77.1,11,19,47657,30150,40313,62381,23,14,75,20226,Rural,Non-Border
Dickens,78.3,11,,38702,,,,,,72,2209,Rural,Non-Border
Dimmit,78.7,13,25,35696,,27281,35792,17,,70,10418,Rural,Border
Donley,74.3,11,,41867,,39750,47727,28,,74,3311,Rural,Non-Border
Duval,73.4,13,26,33495,,32536,53276,12,24,67,11273,Rural,Border
Eastland,76.0,12,26,39620,28750,21927,34398,21,16,75,18411,Rural,Non-Border
Ector,75.4,10,31,54422,50813,53516,66620,19,13,66,157087,Urban,Non-Border
Edwards,74.6,11,,35164,,29500,67361,,,87,1953,Rural,Border
Ellis,78.0,10,14,71512,56533,54528,74103,29,12,73,173620,Urban,Non-Border
El Paso,80.6,13,11,44120,49565,39656,58927,22,7,62,840410,Urban,Border
Erath,78.0,12,18,48230,,45845,47877,39,13,64,41969,Rural,Non-Border
Falls,77.4,13,17,35988,22688,28886,46500,33,,73,17437,Urban,Non-Border
Fannin,74.1,12,33,50598,22227,47788,50769,24,21,75,34446,Rural,Non-Border
Fayette,79.2,11,29,56320,37299,47500,59436,18,,81,25272,Rural,Non-Border
Fisher,79.8,11,41,47292,,35357,53125,30,,72,3880,Rural,Non-Border
Floyd,79.9,13,,41390,36250,40171,64286,4,,73,5855,Rural,Non-Border
Foard,,11,,35007,,41154,50396,,,80,1222,Rural,Non-Border
Fort Bend,83.0,9,7,91661,76306,66700,112112,38,9,78,764828,Urban,Non-Border
Franklin,76.8,12,26,44358,,47083,43693,50,,75,10767,Rural,Non-Border
Freestone,78.8,11,20,47616,26890,37656,54298,21,21,75,19625,Rural,Non-Border
Frio,77.9,12,19,37853,,34916,67388,22,12,70,19600,Rural,Border
Gaines,78.7,11,35,52138,63250,49617,64861,40,,76,20638,Rural,Non-Border
Galveston,77.5,11,14,69674,36031,49339,79987,30,14,66,335036,Urban,Non-Border
Garza,78.1,10,,46587,92604,45806,65708,,,65,6528,Rural,Non-Border
Gillespie,80.6,11,19,58412,,43807,58141,35,21,76,26646,Rural,Non-Border
Glasscock,,10,,78088,,38333,118125,,,72,1348,Rural,Non-Border
Goliad,77.4,11,27,52403,34722,43702,72045,0,32,82,7562,Urban,Non-Border
Gonzales,77.2,12,30,45052,20820,44451,57922,11,,69,20893,Rural,Non-Border
Gray,75.0,11,19,46599,31042,41071,51620,42,17,75,22404,Rural,Non-Border
Grayson,76.3,11,19,54431,30165,47477,55457,30,15,67,131140,Urban,Non-Border
Gregg,75.4,12,21,47208,29648,41318,56395,27,21,59,123367,Urban,Non-Border
Grimes,76.5,12,25,48023,22097,47981,57034,34,14,78,28082,Rural,Non-Border
Guadalupe,79.9,10,14,66886,73595,52674,73445,26,10,75,159659,Urban,Non-Border
Hale,76.9,12,15,43570,37794,41085,52673,23,9,60,34134,Rural,Non-Border
Hall,75.2,15,,32980,18646,31354,34095,,,63,3071,Rural,Non-Border
Hamilton,74.5,11,36,44230,,24954,51445,20,,76,8422,Rural,Non-Border
