county,crime_rate,crimes_reported,crime_rank
Anderson,3061.6,1787,67
Andrews,3130.1,521,65
Angelina,3668,3235,42
Aransas,4577.5,1071,14
Archer,1112.2,77,211
Armstrong,1981.7,39,147
Atascosa,2416.7,1152,103
Austin,1805.4,520,160
Bailey,1258.6,90,198
Bandera,1372.5,283,192
Bastrop,2273.4,1732,121
Baylor,3326.9,120,52
Bee,1593.5,524,172
Bell,3371.2,11014,48
Bexar,5559.4,101005,3
Blanco,1460.9,157,187
Borden,2955.7,18,75
Bosque,1133.9,206,208
Bowie,4386.6,4110,17
Brazoria,2090.9,7001,138
Brazos,3029.8,6156,70
Brewster,1494.4,140,181
Briscoe,1229,19,200
Brooks,2075.2,149,140
Brown,3143.8,1191,64
Burleson,1282.1,223,196
Burnet,2246.9,1018,124
Caldwell,2234.3,864,127
Calhoun,2027.8,398,143
Callahan,1208.5,164,204
Cameron,3749.5,15746,38
Camp,3404.2,426,47
Carson,873.8,54,223
Cass,3207.9,969,59
Castro,2567.8,211,94
Chambers,2437,795,101
Cherokee,2685,1377,89
Childress,1124.7,11,209
Clay,969.9,102,216
Cochran,3927.4,119,33
Coke,653.2,21,237
Coleman,2708,234,87
Collin,1862,15496,155
Collingsworth,0,0,254
Colorado,1626.4,337,171
Comal,2678.5,3379,90
Comanche,2239.5,308,125
Concho,349.7,14,248
Cooke,5820.9,991,2
Coryell,1933.7,1522,149
Cottle,336.5,5,249
Crane,861.1,40,225
Crockett,608.1,23,239
Crosby,906.3,56,222
Culberson,662.3,15,236
Dallam,2425,241,102
Dallas,4023.3,110587,26
Dawson,3751.1,507,37
Deaf Smith,3147.1,611,63
Delta,1542.2,83,175
Denton,1829,10193,156
DeWitt,3060.8,566,68
Dickens,523.6,12,243
Dimmit,4298.9,458,21
Donley,1226.7,44,201
Duval,3648.5,463,43
Eastland,2787.1,514,84
Ector,5081.3,7588,7
Edwards,2387,47,105
El Paso,2514.5,21096,97
Ellis,2236.5,3333,126
Erath,2104.1,841,136
Falls,636.6,112,238
Fannin,1455.4,456,188
Fayette,1259.3,313,197
Fisher,2873.6,110,80
Floyd,2304.1,147,116
Foard,537.6,7,242
Fort Bend,1668.2,10116,168
Franklin,1120.4,112,210
Freestone,1810.7,353,159
Frio,2290.2,411,119
Gaines,1576.6,296,173
Galveston,3313.8,10504,53
Garza,794,51,228
Gillespie,1483.4,376,185
Glasscock,705.9,9,232
Goliad,2222.2,165,128
Gonzales,3369.1,681,49
Gray,4279.4,995,22
Grayson,2787.2,3392,83
Gregg,4801.4,6295,11
Grimes,2118.7,571,134
Guadalupe,2090.2,2776,139
Hale,2993.8,1115,71
Hall,1246.6,41,199
Hamilton,2376.8,165,106
Hansford,942.5,52,220
Hardeman,3213.9,131,58
Hardin,1771.3,984,161
Harris,4874.3,212013,9
Harrison,2661.4,1767,91
Hartley,475.1,16,245
Haskell,966.1,57,219
Hays,2263.5,3926,123
Hemphill,1929.9,81,150
Henderson,2757.3,2189,86
